lokasi,komoditas,tanggal,suhu_c,curah_hujan_mm,ph_tanah,produksi_kg,permintaan_kg,harga_per_kg,distribusi_jam,gap
Malang,Padi,2026-04-03,30.1,1.9,6.26,5642,4962,8742,4,680
Semarang,Padi,2026-01-24,28.0,5.8,6.55,5035,5584,19822,4,-549
Semarang,Cabai,2026-02-18,24.1,8.0,6.45,950,409,35268,7,541
Semarang,Cabai,2026-01-03,29.8,9.2,6.44,991,1038,36564,5,-47
Malang,Padi,2026-02-22,27.5,1.1,6.69,5474,4852,11641,4,622
Semarang,Padi,2026-04-14,28.1,12.6,6.56,4581,4128,9647,7,453
Semarang,Cabai,2026-02-17,30.5,0.0,6.61,1007,1189,37228,6,-182
Malang,Padi,2026-01-26,29.2,7.1,6.31,4685,4249,9086,7,436
Semarang,Cabai,2026-01-11,30.3,0.5,6.6,1391,1084,34659,7,307
Malang,Cabai,2026-03-13,27.2,4.4,6.79,662,1380,42043,5,-718
Malang,Cabai,2026-03-06,29.7,4.6,6.59,1220,688,30652,6,532
Malang,Cabai,2026-01-15,28.7,0.2,6.53,965,2053,38389,7,-1088
Semarang,Cabai,2026-01-23,30.7,16.4,6.82,1247,1117,36143,5,130
Malang,Cabai,2026-01-06,26.0,3.9,6.69,937,690,33045,4,247
Malang,Padi,2026-04-07,30.7,0.0,6.33,4848,4476,18027,4,372
Malang,Padi,2026-02-13,27.7,2.4,6.56,4562,4734,14567,5,-172
Semarang,Padi,2026-02-08,25.2,4.9,6.51,5738,4923,10528,5,815
Malang,Padi,2026-03-31,31.3,8.8,6.66,4727,5561,15366,5,-834
Semarang,Cabai,2026-04-22,28.1,6.9,6.89,1024,833,35760,7,191
Malang,Padi,2026-03-08,27.9,10.5,6.59,4259,5192,20517,4,-933
Malang,Padi,2026-01-23,32.7,7.0,6.37,4843,5005,15565,4,-162
Semarang,Cabai,2026-02-17,29.1,7.5,6.47,1054,1385,34525,7,-331
Malang,Padi,2026-01-24,30.8,3.9,6.63,5330,4260,10987,4,1070
Malang,Cabai,2026-04-03,27.0,0.0,5.92,759,998,35428,7,-239
Semarang,Padi,2026-01-08,29.8,9.7,6.33,5043,4452,9501,5,591
Semarang,Padi,2026-04-12,30.8,3.8,6.74,5161,6093,18847,7,-932
Malang,Cabai,2026-03-02,34.6,4.8,6.5,1057,1242,35227,7,-185
Malang,Cabai,2026-01-24,30.2,0.0,6.57,1015,913,33539,7,102
Malang,Cabai,2026-03-08,29.4,0.0,6.53,1115,646,32962,7,469
Malang,Padi,2026-01-23,29.1,0.0,6.57,5168,5433,17432,7,-265
Malang,Cabai,2026-02-11,30.0,7.6,6.6,2155,1228,32636,7,927
Semarang,Padi,2026-01-14,28.4,8.8,6.35,4928,4805,13548,4,123
Semarang,Cabai,2026-03-03,30.4,0.0,6.41,1326,1025,31339,4,301
Semarang,Padi,2026-04-18,27.5,6.1,6.51,4804,5857,20532,7,-1053
Semarang,Cabai,2026-04-24,24.9,5.9,6.37,1255,682,31905,4,573
Semarang,Cabai,2026-03-03,30.0,9.3,6.26,899,810,33248,5,89
Semarang,Padi,2026-03-30,26.5,9.6,6.92,5309,4392,8446,7,917
Malang,Cabai,2026-03-27,29.9,8.9,6.31,982,-296,26561,4,1278
Semarang,Padi,2026-04-11,32.3,0.0,6.41,5039,5576,13813,5,-537
Semarang,Cabai,2026-04-30,27.0,7.3,6.54,819,1027,35269,6,-208
Semarang,Padi,2026-01-12,32.2,0.0,6.93,4414,4939,17801,4,-525
Semarang,Padi,2026-02-12,29.6,1.9,6.46,4852,4764,15259,7,88
Semarang,Cabai,2026-04-24,30.8,6.5,6.66,1188,668,31279,4,520
Semarang,Padi,2026-04-09,29.0,5.6,6.76,4822,5218,15575,4,-396
Semarang,Cabai,2026-02-24,30.7,9.1,6.76,1006,1272,35709,4,-266
Semarang,Padi,2026-03-02,29.6,4.3,6.52,5178,4672,15654,6,506
Semarang,Cabai,2026-02-21,31.3,9.0,6.62,1188,995,32240,6,193
